tweet_id,created_at,text
1212741509998686208,Thu Jan 02 14:24:42 +0000 2020,$spy $gspc $aapl $nflx $goog $tsla AMD's stock surges premarket toward 20-year high after Instinet boosts price tar… https://t.co/8rU1xPknru
1212741503992418305,Thu Jan 02 14:24:40 +0000 2020,$spy $gspc $aapl $nflx $goog $tsla Julian Castro drops out of Democratic presidential primary  https://t.co/6XMQ5KMk4v
1212740433807335429,Thu Jan 02 14:20:25 +0000 2020,"Dropped $AAPL I’ll buy back my shares when they can solve my issues. If not, I just won’t. $nflx $tsla $goog $amzn @AppleSupport"
1212738757461520384,Thu Jan 02 14:13:46 +0000 2020,"boom!!!
25 minutes of work DONE 👍 #pomodoro

we only got 5 minutes to save the world *5-min procrastination goog*

ok back to work"
1212738107147259905,Thu Jan 02 14:11:10 +0000 2020,$spy $gspc $aapl $nflx $goog $tsla Innate Pharma's stock rallies 23% on leukemia drug submission in Europe  https://t.co/ooJRzVl1WX
1212738021952495616,Thu Jan 02 14:10:50 +0000 2020,$GOOG #patent 20200007489 NAME COMPOSITION ASSISTANCE IN MESSAGING APPLICATIONS #tech #IP #research https://t.co/YiQ6xD9fxb
1212736937473331200,Thu Jan 02 14:06:32 +0000 2020,@LiamMcBaen @tessie711 @view_censored @4YrsToday @prayingmedic GOOG works doh https://t.co/zAn59R7gSx
1212736566008909825,Thu Jan 02 14:05:03 +0000 2020,$GOOG $GOOGL NEW ARTICLE : Longtime Googlers explain their frustration about the company's changing culture… https://t.co/gdp77FtCrP
1212735574383235077,Thu Jan 02 14:01:07 +0000 2020,"$GOOG $GOOGL NEW ARTICLE : Google AI spots breast cancer better than doctors, study finds https://t.co/KLCXvJRQAx G… https://t.co/wTreNLcR6y"
1212735558147018752,Thu Jan 02 14:01:03 +0000 2020,$GOOG $GOOGL NEW ARTICLE : How longtime Google employees feel about the changes in the company… https://t.co/6ol5V0JJXY
1212735293968863232,Thu Jan 02 14:00:00 +0000 2020,"Average sentiment (Twitter 6H):
 📈 $AMD: 0.65(73)
 📈 $GOOG: 0.33(63)
 📈 $FB: 0.60(25)
  $MMM: 0.00(2)
 📈 $CAT: 0.61(3)"
1212735175999799301,Thu Jan 02 13:59:32 +0000 2020,"@Waffeul_ The You of Tubes
The Twit of Ters
The Goog of Les
The Book of Faces"
1212734653263761408,Thu Jan 02 13:57:27 +0000 2020,"While trying to find stocks that will go up this year, in spite of trump, I came up with these 5 companies. (AAPL),… https://t.co/gwKt0I1JjB"
