tweet_id,created_at,text,symbols
1212811425766350849,Thu Jan 02 19:02:31 +0000 2020,$AMZN   SEEMs to be getting strong for no particular reason and without any nice technincal bottoms in place.  if t… https://t.co/sOxOtjpMen,AMZN
1212811351007084544,Thu Jan 02 19:02:13 +0000 2020,"$TSLA damn went to grab sum weekly 430 PUTS that Xpire tommorow, thu fukerz are still goin for $700 lmfao! wut a jo… https://t.co/PUG8ngQt02",TSLA
1212811041505234953,Thu Jan 02 19:00:59 +0000 2020,$TSLA closing Jan. 3rd calls finally! I was deep in the money for way too long. https://t.co/UsxvvjhBaz,TSLA
1212810801863692288,Thu Jan 02 19:00:02 +0000 2020,A Guide To Disaster Preparedness — Part Two https://t.co/kflwBKb5Qt #TeamElon $TSLA #Tesla,TSLA
1212810793185615873,Thu Jan 02 19:00:00 +0000 2020,TSLA please go down I’d like to but more lol jk 📈📈,
1212810676910968832,Thu Jan 02 18:59:32 +0000 2020,How can this dude have 8k followers. He seems to have lost it. #whining #ranting #fud #dosentgetit. #greg $tsla. https://t.co/stgzoSOysZ,TSLA
1212810547302977538,Thu Jan 02 18:59:02 +0000 2020,@Nghii_trann Congrats to u - I'm not in Tsla - can't stomach the volitily and to buy calls at this level requires lots of guts :),
1212810085828878341,Thu Jan 02 18:57:12 +0000 2020,"Mr. @elonmusk this is really messed up, bro. $TSLA $TSLAQ https://t.co/7l5oNNGBzZ","TSLA,TSLAQ"
1212810072335605760,Thu Jan 02 18:57:08 +0000 2020,"@MalibuPrivate $Tsla usually report delivery number on the 2nd of the month after mkt. no info in Tsla or, but should be soon. #Catalyst",TSLA
1212809787949408257,Thu Jan 02 18:56:01 +0000 2020,SELL $TSLAit’s about the tenth spike for the same reason :)https://t.co/WOSnuOku6e,TSLA
1212809784086290433,Thu Jan 02 18:56:00 +0000 2020,My #1 pick for January 2020 starting perfectly come on shorts where are u guys all caught up in Cannabis try to sho… https://t.co/EvQrfoUAza,
1212809480846610433,Thu Jan 02 18:54:47 +0000 2020,Alright Papa. Don't let me down. (and just in case you do). $tsla $tslaq https://t.co/aWHFxrxLPo,"TSLA,TSLAQ"
1212809317713432576,Thu Jan 02 18:54:08 +0000 2020,@stkbullgod @bigcoveranch $TSLA bears need your negative spiel much more !,TSLA
1212809042248306689,Thu Jan 02 18:53:03 +0000 2020,$AAPL $TSLA NEW ARTICLE : Apple will be worth $2 trillion in next several years: Investor https://t.co/nNYiQiXWNy G… https://t.co/XTnjETgZAG,"AAPL,TSLA"
1212808847322177536,Thu Jan 02 18:52:16 +0000 2020,More $TSLA competition secured https://t.co/widnYmUsCd,TSLA
1212808738429718530,Thu Jan 02 18:51:50 +0000 2020,@RampCapitalLLC TSLA...but I’m gonna be right.,
1212808731563581440,Thu Jan 02 18:51:49 +0000 2020,$ES_F $SPX $SPY Nice hold on the 3240 area still fighting to keep this level. Many names grinding higher $TSLA lo… https://t.co/9niTMtmJba,"ES_F,SPX,SPY,TSLA"
1212808703658905601,Thu Jan 02 18:51:42 +0000 2020,"Jan 02 Thursday, $TSLA is $428.98Bearish target $418.33",TSLA
1212808590865522690,Thu Jan 02 18:51:15 +0000 2020,@agusnox $BYND and $W have been very good to me.  Profitless shit like $TSLAWhat else is on your radar screen?,"BYND,W,TSLA"
1212808503749959683,Thu Jan 02 18:50:54 +0000 2020,@ValueAnalyst1 Does anyone have an example of what LIDAR looks like in fog or rain? Would be an awesome side by side against $TSLA,TSLA
1212808337869299713,Thu Jan 02 18:50:15 +0000 2020,"@AlderLaneeggs @boriquagato Still, everyday, I am fascinated by the fact that we are debating +/- 5,000 deliveries… https://t.co/smNMfo8Khv",
1212808290360528896,Thu Jan 02 18:50:03 +0000 2020,$TSLA - Greg speaking some hard truth about Autopilot.   He will be mercilessly attacked soon.   $TSLAQ https://t.co/bL4CQp2DFR,"TSLA,TSLAQ"
1212808183850254336,Thu Jan 02 18:49:38 +0000 2020,The Best Longs on https://t.co/3ZIM7m2Xbo are 40 stocks coming off a significant bottom w/momentum or have experien… https://t.co/Xr9YMA3dh4,
1212808055475376133,Thu Jan 02 18:49:07 +0000 2020,"@Insurmountabl1 @vm_one1 @jjhanna2 When TSLA nears intrinsic value, I'd like to diversify from my clinically insane… https://t.co/pd24lWdbcT",
1212808010420097025,Thu Jan 02 18:48:57 +0000 2020,$TSLA being worth as much as $f and $gm combined may go down as one of the worst overpriced valuations of all time.… https://t.co/wQY1MHykLC,"TSLA,F,GM"
1212807872461053953,Thu Jan 02 18:48:24 +0000 2020,AM glad there are video evidences otherwise you know bears &amp; media likes to have fun with the statements. $TSLA… https://t.co/uTicSlBIhF,TSLA
1212807858695397377,Thu Jan 02 18:48:21 +0000 2020,Sb please check how many shares of $tsla crazy Cathy owns now.,TSLA
1212807796141383680,Thu Jan 02 18:48:06 +0000 2020,"@CGrantWSJ As long as there is short squeeze, tsla is fine. But short interest is at all time low lol",
1212807793088045058,Thu Jan 02 18:48:05 +0000 2020,"@Tweetermeyer Don’t worry bro, BMW, Mercedes + Audi are selling about 2m of their polluting stupid cars at a higher… https://t.co/UWzvYHx8ri",
1212807787341733888,Thu Jan 02 18:48:04 +0000 2020,@RampCapitalLLC Not buying $TSLA at $175.... Selling $BYND at $96 before the run up to $200. $JET took a big % loss… https://t.co/DqbBbbZ6qZ,"TSLA,BYND,JET"
1212807773295185920,Thu Jan 02 18:48:00 +0000 2020,@NorthmanTrader That the #FNMAGAT rules the world. $fb $nflx $msft $amzn $goog $aapl $tsla #elites will own it all.,"FB,NFLX,MSFT,AMZN,GOOG,AAPL,TSLA"
1212807764847796225,Thu Jan 02 18:47:58 +0000 2020,Traded $CGC $TSLA $RAD. Finishing -2RMy $CGC trade I regret as it was too early and was up on no news.$Tsla 1st… https://t.co/znzhcQhk0j,"CGC,TSLA,RAD,CGC,TSLA"
1212807558639034368,Thu Jan 02 18:47:09 +0000 2020,$spy $gspc $aapl $nflx $goog $tsla Amazon workers group says members were threatened with termination after speakin… https://t.co/9uU5DPgAqz,"SPY,GSPC,AAPL,NFLX,GOOG,TSLA"
1212807290685771777,Thu Jan 02 18:46:05 +0000 2020,@RampCapitalLLC $TSLA rallying into delivery announcement https://t.co/6ePA2YJjI4,TSLA
1212807182938517510,Thu Jan 02 18:45:39 +0000 2020,"Join us for Daily Powerful Watchlist, Swing &amp; Day Option Trading Alerts  Paypal monthly link in bio, $99.99 DM for… https://t.co/VZXCa5gDp7",
1212806882303324160,Thu Jan 02 18:44:28 +0000 2020,"There is not a single metric to support $TSLA inflated stock. Negative EPS for the year, bottom rung of projected d… https://t.co/fKbjdlqK8S",TSLA
1212806861214355456,Thu Jan 02 18:44:23 +0000 2020,Got to love it. Profit target hit on $TSLA 429.18. Trade closed,TSLA
1212806657526444035,Thu Jan 02 18:43:34 +0000 2020,ye who doubt @elonmusk shall be rekt $TSLA https://t.co/HGBpBNXarl,TSLA
1212806649267638272,Thu Jan 02 18:43:32 +0000 2020,"@MilenaRodban and even if it does, is TSLA going to be a prime beneficiary?",
1212806432602624000,Thu Jan 02 18:42:41 +0000 2020,@Trade_With_Mr_X Mr. X - any thoughts on a TSLA re-entry?,
1212806179996323845,Thu Jan 02 18:41:40 +0000 2020,"@ManicTraders @aaohioaccountan I haven't used it yet!!  Have been trading AMZN, BIDU, and am in TSLA now!  What do… https://t.co/UJesalP46k",
1212805902496960512,Thu Jan 02 18:40:34 +0000 2020,$TSLA there ya go target hit,TSLA
1212805901134057473,Thu Jan 02 18:40:34 +0000 2020,Anyone else completely frustrated trying to reach Tesla service via phone?https://t.co/4vP5w4QOA2#tesla $tsla,TSLA
1212811694910640128,Thu Jan 02 19:03:35 +0000 2020,Should bump $AAPL by a few percentage points.https://t.co/OJ1bFtEjOl via @NYTimes,AAPL
1212811656264404992,Thu Jan 02 19:03:26 +0000 2020,All out $AAPL,AAPL
1212811651306676225,Thu Jan 02 19:03:25 +0000 2020,CityFALCON score gives top rated news for FREE #bigdata $AAPL $TSLA https://t.co/5TwDNEFnih https://t.co/rT4bpuygOW,"AAPL,TSLA"
1212811651025711108,Thu Jan 02 19:03:25 +0000 2020,@Wheels88Fortune @agusnox $aapl seems to be way too high &amp; a cheap short,AAPL
