tweet_id,created_at,source,target
1212743197966950401,Thu Jan 02 14:31:24 +0000 2020,GOOG,MSFT
1212743197966950401,Thu Jan 02 14:31:24 +0000 2020,GOOG,GOOG
1212743197966950401,Thu Jan 02 14:31:24 +0000 2020,GOOG,AMZN
1212743197966950401,Thu Jan 02 14:31:24 +0000 2020,GOOG,SMH
1212743197966950401,Thu Jan 02 14:31:24 +0000 2020,GOOG,JPM
1212743197966950401,Thu Jan 02 14:31:24 +0000 2020,GOOG,BAC
1212743197966950401,Thu Jan 02 14:31:24 +0000 2020,GOOG,COST
1212743197966950401,Thu Jan 02 14:31:24 +0000 2020,GOOG,HD
1212743025916620805,Thu Jan 02 14:30:43 +0000 2020,GOOG,FB
1212743025916620805,Thu Jan 02 14:30:43 +0000 2020,GOOG,AMZN
1212743025916620805,Thu Jan 02 14:30:43 +0000 2020,GOOG,AAPL
1212743025916620805,Thu Jan 02 14:30:43 +0000 2020,GOOG,MSFT
1212743025916620805,Thu Jan 02 14:30:43 +0000 2020,GOOG,GOOG
1212743025916620805,Thu Jan 02 14:30:43 +0000 2020,GOOG,SPY
1212742843808260096,Thu Jan 02 14:30:00 +0000 2020,GOOG,GOOG
1212742843808260096,Thu Jan 02 14:30:00 +0000 2020,GOOG,GOOGL
1212741796138233864,Thu Jan 02 14:25:50 +0000 2020,GOOG,GOOG
1212741509998686208,Thu Jan 02 14:24:42 +0000 2020,GOOG,SPY
1212741509998686208,Thu Jan 02 14:24:42 +0000 2020,GOOG,GSPC
1212741509998686208,Thu Jan 02 14:24:42 +0000 2020,GOOG,AAPL
1212741509998686208,Thu Jan 02 14:24:42 +0000 2020,GOOG,NFLX
1212741509998686208,Thu Jan 02 14:24:42 +0000 2020,GOOG,GOOG
1212741509998686208,Thu Jan 02 14:24:42 +0000 2020,GOOG,TSLA
1212741503992418305,Thu Jan 02 14:24:40 +0000 2020,GOOG,SPY
1212741503992418305,Thu Jan 02 14:24:40 +0000 2020,GOOG,GSPC
1212741503992418305,Thu Jan 02 14:24:40 +0000 2020,GOOG,AAPL
1212741503992418305,Thu Jan 02 14:24:40 +0000 2020,GOOG,NFLX
1212741503992418305,Thu Jan 02 14:24:40 +0000 2020,GOOG,GOOG
1212741503992418305,Thu Jan 02 14:24:40 +0000 2020,GOOG,TSLA
1212740433807335429,Thu Jan 02 14:20:25 +0000 2020,GOOG,AAPL
1212740433807335429,Thu Jan 02 14:20:25 +0000 2020,GOOG,NFLX
1212740433807335429,Thu Jan 02 14:20:25 +0000 2020,GOOG,TSLA
1212740433807335429,Thu Jan 02 14:20:25 +0000 2020,GOOG,GOOG
1212740433807335429,Thu Jan 02 14:20:25 +0000 2020,GOOG,AMZN
1212738107147259905,Thu Jan 02 14:11:10 +0000 2020,GOOG,SPY
1212738107147259905,Thu Jan 02 14:11:10 +0000 2020,GOOG,GSPC
1212738107147259905,Thu Jan 02 14:11:10 +0000 2020,GOOG,AAPL
1212738107147259905,Thu Jan 02 14:11:10 +0000 2020,GOOG,NFLX
1212738107147259905,Thu Jan 02 14:11:10 +0000 2020,GOOG,GOOG
1212738107147259905,Thu Jan 02 14:11:10 +0000 2020,GOOG,TSLA
1212738021952495616,Thu Jan 02 14:10:50 +0000 2020,GOOG,GOOG
1212736566008909825,Thu Jan 02 14:05:03 +0000 2020,GOOG,GOOG
1212736566008909825,Thu Jan 02 14:05:03 +0000 2020,GOOG,GOOGL
1212735574383235077,Thu Jan 02 14:01:07 +0000 2020,GOOG,GOOG
1212735574383235077,Thu Jan 02 14:01:07 +0000 2020,GOOG,GOOGL
1212735558147018752,Thu Jan 02 14:01:03 +0000 2020,GOOG,GOOG
1212735558147018752,Thu Jan 02 14:01:03 +0000 2020,GOOG,GOOGL
1212735293968863232,Thu Jan 02 14:00:00 +0000 2020,GOOG,AMD
1212735293968863232,Thu Jan 02 14:00:00 +0000 2020,GOOG,GOOG
1212735293968863232,Thu Jan 02 14:00:00 +0000 2020,GOOG,FB
1212735293968863232,Thu Jan 02 14:00:00 +0000 2020,GOOG,MMM
1212735293968863232,Thu Jan 02 14:00:00 +0000 2020,GOOG,CAT
1212734246785343489,Thu Jan 02 13:55:50 +0000 2020,GOOG,GOOG
1212733544625258496,Thu Jan 02 13:53:03 +0000 2020,GOOG,GOOG
1212733544625258496,Thu Jan 02 13:53:03 +0000 2020,GOOG,GOOGL
1212731529497128961,Thu Jan 02 13:45:02 +0000 2020,GOOG,AAPL
1212731529497128961,Thu Jan 02 13:45:02 +0000 2020,GOOG,FB
